TIME ,REPLICATES,SURFACE,CLEANING ,COUNT
0,1,SS,NIL,6016
0,2,SS,NIL,5767
0,3,SS,NIL,5500
0,4,SS,NIL,6700
7,1,SS,NIL,1075
7,2,SS,NIL,1168
7,3,SS,NIL,1150
7,4,SS,NIL,1098
24,1,SS,NIL,401
24,2,SS,NIL,768
24,3,SS,NIL,985
31,1,SS,NIL,368
31,2,SS,NIL,550
31,3,SS,NIL,230
48,1,SS,NIL,298
48,2,SS,NIL,189
48,3,SS,NIL,368
48,4,SS,NIL,228
48,5,SS,NIL,297
48,6,SS,NIL,106
0,1,SS,CON,337
0,2,SS,CON,268
0,3,SS,CON,390
0,4,SS,CON,225
0,5,SS,CON,255
0,1,SS,ALC,100
0,2,SS,ALC,63
0,3,SS,ALC,47
0,4,SS,ALC,161
0,5,SS,ALC,177
0,1,SS,DW,30
0,2,SS,DW,35
0,3,SS,DW,28
0,4,SS,DW,43
0,5,SS,DW,31
1,1,SS,CON,181
1,2,SS,CON,183
1,3,SS,CON,119
1,4,SS,CON,96
1,5,SS,CON,99
1,1,SS,ALC,100
1,2,SS,ALC,130
1,3,SS,ALC,97
1,4,SS,ALC,98
1,5,SS,ALC,86
1,1,SS,DW,20
1,2,SS,DW,18
1,3,SS,DW,35
1,4,SS,DW,16
1,5,SS,DW,15
2,1,SS,C0N,133
2,2,SS,C0N,127
2,3,SS,C0N,121
2,4,SS,C0N,129
2,5,SS,C0N,100
2,1,SS,ALC,50
2,2,SS,ALC,55
2,3,SS,ALC,30
2,4,SS,ALC,33
2,5,SS,ALC,15
2,1,SS,DW,20
2,2,SS,DW,40
2,3,SS,DW,19
2,4,SS,DW,15
2,5,SS,DW,10
4,1,SS,CON,100
4,2,SS,CON,70
4,3,SS,CON,50
4,4,SS,CON,60
4,5,SS,CON,40
4,1,SS,ALC,38
4,2,SS,ALC,20
4,3,SS,ALC,10
4,4,SS,ALC,9
4,5,SS,ALC,15
4,1,SS,DW,14
4,2,SS,DW,15
4,3,SS,DW,10
4,4,SS,DW,9
4,5,SS,DW,7