r,K,m,g,C0,distance
[0.33896199],[966.67269312],[2.26971712],[9.36324731],[799.11186385],219.54097290294237
[0.11316527],[1952.45260552],[8.16564063],[22.7175457],[943.41391492],73.33029691292143
[8.61813048],[750.25788324],[5.5960603],[2.05844378],[997.77436318],206.14475644215474
[0.13030688],[28506.31390033],[12.82924794],[20.3719703],[1054.81457154],209.57970346711932
[8.73166314],[779.578263],[8.50471492],[14.86715553],[947.14446034],247.93113016025927
[0.08104347],[19664.31178916],[9.80262613],[20.90758727],[991.94451033],108.86297231373976
[0.09874348],[29585.924676],[11.64573945],[24.8759232],[1032.18653226],193.84164735832223
[0.07744152],[6702.39887473],[2.74769641],[11.96533402],[836.88382266],180.4609273889763
[3.62075674],[782.87935952],[18.11108843],[20.46626686],[941.51811682],230.95828240920684
[0.37829294],[1088.85879942],[8.80576335],[20.19172385],[811.1677972],247.14392753498623
[20.29585293],[745.93657535],[8.12178745],[17.61672965],[991.23376864],240.29714671614704
[3.20681177],[859.61829247],[5.54651082],[2.68693364],[965.62987613],229.72028007212282
[12.69082895],[760.15743978],[3.36447923],[3.5654824],[940.25952633],227.36076565779922
[1.70502344],[890.0563307],[17.6980649],[15.03866746],[1059.19879039],210.5846830679693
[0.0224348],[29903.02629882],[8.53560135],[22.90480515],[1022.18268705],232.66130909731362
[21.11814312],[739.43006584],[8.47952584],[24.71433807],[980.00537713],235.575310172665
[4.15567654],[768.32280944],[10.02119204],[5.57766865],[983.09984187],165.97349605767704
[0.08034815],[7720.5865854],[1.12242081],[4.37075884],[838.73447823],160.93195923402266
[0.06328715],[11147.21115246],[9.1758727],[23.3470594],[1054.94448911],229.18543160953539
[9.94565016],[771.46180743],[17.08237118],[18.94454861],[957.35223703],229.6964687115892
[0.05419319],[3082.88094966],[6.24931859],[20.37203984],[960.02246868],127.71722861842227
[23.9806378],[750.06704508],[1.1537871],[2.75538457],[1002.38283061],244.88742359709067
[0.13310793],[1355.03127076],[8.70293777],[23.13806023],[938.52743134],110.83178419873548
[1.37324807],[829.29365001],[12.28674451],[15.59155669],[902.76789654],181.52342779419848
[23.92916951],[729.28534972],[2.25045888],[2.60171887],[938.82289236],242.60508976593792
[0.05330092],[6990.80065546],[3.38115149],[10.43157559],[996.70727491],169.16236569707087
[8.67723128],[743.97191182],[15.33715134],[19.39385095],[974.03331937],224.87997735581553
[1.17335123],[979.51936645],[17.73298268],[17.7518416],[947.7863365],231.82841129704912
[0.06977565],[18991.06401173],[6.87222432],[21.23293277],[955.47656825],115.47287403411246
[13.89484533],[748.33432186],[6.63990847],[6.20240894],[943.4731702],222.8815999620707
[4.01582138],[787.34139731],[8.54518559],[7.53336442],[978.75538653],219.30404556512963
[17.41133421],[742.00109663],[13.1232301],[21.58555083],[954.64472933],219.35411265118307
[0.12233116],[14075.4008833],[3.53437547],[5.62680293],[994.87068702],243.02898909628425
[16.84320556],[830.40064424],[1.86323629],[0.06823895],[1002.33884326],231.47877441030482
[18.12037576],[864.09738908],[18.55402532],[2.22308923],[1013.26711036],248.10604382055817
[11.39506922],[760.94967364],[3.44374956],[2.01213007],[902.1615796],231.64963221474716
[0.0290271],[17495.24494221],[4.07906719],[13.06867247],[974.75272358],159.9138347189994
[0.09918346],[11265.50855594],[5.86939764],[10.10358131],[1083.24984158],172.33142014293003
[22.02379788],[732.10967674],[11.40022474],[23.0073746],[985.74559247],248.63591415844644
[0.0951828],[27923.14142787],[8.06279694],[16.20860468],[1053.12353696],170.89912642590866
[0.07493581],[22538.84617969],[5.64333316],[17.2575801],[905.9324583],94.80836985203314
[0.18586659],[6515.65686132],[11.21916751],[19.25355962],[938.04287582],225.71781740827157
[0.14799009],[29264.36581931],[9.14501628],[17.96209061],[977.95168706],212.7423869853751
[17.20387408],[743.34721744],[14.57957117],[3.08477532],[963.06802077],180.6865287974606
[0.16368639],[1088.46961461],[2.18973264],[7.28338527],[930.70019186],142.24321900895768
[20.63833556],[750.31811024],[13.03225799],[4.17793767],[957.7681129],198.93109128514027
[8.30677507],[824.00291039],[18.3986381],[3.49653736],[1047.06566561],224.61914545014827
[12.25591325],[775.41234391],[5.20396254],[20.54186385],[945.58000055],245.49736803539713
[24.42499789],[722.20374809],[19.41390577],[9.36968896],[948.24762125],245.46921103784507
[0.12171328],[10178.3218047],[15.16814647],[23.02913789],[1114.60975224],234.17980022397887
[6.52612598],[757.23165917],[10.8809155],[21.43136703],[942.90292811],229.34899144262488
[1.58478094],[880.43842508],[12.10883631],[9.74768361],[1054.51798087],239.62211349879203
[0.04403704],[25082.77982709],[3.89516902],[16.48669479],[869.18032187],201.36804139198443
[14.59580549],[937.95327828],[6.24270545],[0.33953648],[1075.39105396],235.12083002963288
[8.04771819],[755.4082236],[2.88192437],[0.92259364],[951.82751252],245.92737816837348
[2.89355861],[871.41293503],[14.75397106],[7.2403094],[1012.62707718],244.34924246527726
[0.12106817],[11556.47839742],[10.33813038],[15.82411632],[1103.57693949],226.31380883381746
[18.39890007],[918.94500659],[12.16997458],[1.06733816],[849.22717889],232.61026938867928
[1.61535108],[772.05563517],[6.30221591],[14.80296684],[950.9419145],184.52386008792303
[1.09863328],[840.9219959],[13.51858764],[16.92337185],[877.44064182],233.9724970847302
[13.32780087],[1035.96803689],[5.9934071],[0.277679],[853.01389251],140.54348826538694
[19.6391321],[915.3743795],[13.45719915],[0.79164075],[993.68675876],135.54905063385104
[7.8065697],[1990.97293825],[5.59736529],[0.08298188],[995.99620847],113.15661117364061
[16.34836555],[1252.96340692],[7.06478473],[0.0521259],[994.9446713],177.1267330250986
[0.17469587],[10778.82672509],[5.13945617],[9.57774443],[932.35030884],229.26516354793432
[1.3603467],[746.57371766],[11.97995956],[21.50273472],[913.14681387],234.519803706375
[0.14780431],[1510.51259549],[4.87194026],[12.84954206],[949.03387934],59.26761172568263
[19.93744587],[776.14452394],[8.11915866],[13.06927324],[965.06813426],235.87739036943833
[0.09808759],[20713.15419131],[1.55416255],[5.33583754],[866.02078782],210.26951219999523
[0.01797051],[29916.07984065],[2.93119633],[12.46569571],[970.36275641],217.3313033217022
[12.5990816],[749.87422189],[7.8995166],[17.39127546],[918.77330164],247.34860411690727
[0.1198976],[15358.25870379],[6.29921538],[14.82803052],[977.19928432],219.90342936092793
[0.10425166],[21578.63007606],[10.59921793],[22.93367636],[919.09031374],148.13510506804414
[8.83203093],[746.31089482],[5.08167214],[11.73733798],[976.48198697],225.0120645548426
[24.82406923],[852.48238591],[14.40198537],[0.79631894],[1001.79321693],165.5072637405375
[21.98999361],[790.5894214],[19.58930393],[1.72603854],[975.96981368],162.51099144860586
[0.06796769],[23429.39797304],[5.75410795],[18.67718434],[901.25600382],115.87750820664132
[1.82564427],[932.74668278],[19.95972011],[17.04894767],[960.94976887],177.1255907768592
[0.35138975],[1135.92984395],[8.86836651],[24.24850495],[884.7825545],198.21585457042715
[0.08216345],[2106.86447379],[1.8711238],[4.44626825],[988.55368866],145.34415444157548
[6.72819487],[927.61000921],[3.00157834],[0.37018732],[895.32322443],225.89222457562084
[21.4348874],[786.01206997],[2.67846907],[1.8691425],[971.41533446],232.9573149490185
[1.06241604],[921.88970241],[15.17470305],[18.34466077],[960.655123],109.20793866693748
[14.17129635],[772.79802974],[0.47664734],[6.19147154],[939.40084304],248.9692835177408
[0.08847127],[7393.6310593],[4.12828956],[13.91706041],[862.79703663],119.49238763993844
[0.01884176],[24134.5074304],[5.97021103],[16.94765094],[953.12705794],231.23221051846429
[20.79607607],[744.53325414],[18.46197679],[16.32156327],[983.75041462],234.21691350864432
[8.31567041],[719.36014844],[13.98253851],[8.57133468],[957.54788592],236.41660015852392
[0.10656516],[11491.99018602],[9.25901538],[20.40883175],[1015.01986372],190.97924958970646
[0.05484203],[24267.80054917],[9.89989399],[23.956938],[967.23127812],150.9183474285827
[0.05325159],[28258.30850852],[5.70670403],[23.74625379],[955.43668109],230.94110731006742
[6.6416287],[743.76317831],[4.59617373],[10.75739801],[962.39130662],212.75642623072372
[0.1322312],[22281.09161828],[12.98358073],[24.22616566],[931.94392554],157.93235716667584
[18.12493661],[760.66754844],[14.00643617],[17.83594859],[943.78721892],232.54682803713797
[10.4790043],[737.25543836],[9.24035257],[14.11302644],[981.72799929],239.42259903085505
[0.07894327],[21397.39925958],[4.99510003],[13.8902762],[877.44683933],199.8893395301984
[2.00276717],[852.21188409],[13.73918902],[15.79965498],[934.39899168],183.65564169964944
[22.45566933],[758.56448219],[9.92138396],[8.72917728],[943.88718252],230.2552234048959
[0.12185168],[21147.26321567],[11.21503367],[21.36825475],[959.3463554],96.97254681396942
[0.18245933],[4866.27839531],[9.24591021],[18.20722124],[936.43346811],219.00430506265582
[0.02789306],[7298.97091211],[3.67160395],[18.86202445],[953.99510574],224.93833663904604
[18.34063211],[748.0177828],[13.20571326],[14.70530993],[966.69638493],213.67750794492486
[0.09959422],[17385.4429012],[7.86702413],[17.67732533],[912.07928648],163.27616143907585
[0.07969355],[6291.78097952],[7.21533064],[15.02966268],[1065.83801686],155.28841883351095
[12.61094217],[749.16267186],[7.22820857],[22.60771744],[955.37818669],211.45788184458115
[17.50568414],[740.00965918],[14.42050771],[5.58023483],[924.47111483],248.1426548815707
[0.04033691],[11654.51980495],[8.4868894],[20.55820985],[985.71166891],207.28249423612976
[0.11200177],[2563.67390771],[7.58238072],[18.60827921],[1023.79813781],203.617119908444
[23.28691634],[1600.33488731],[15.92831477],[0.10365188],[1010.89343787],198.79268800274167
[14.42185995],[747.76695891],[6.12737828],[7.56805606],[993.42161246],240.3087509999591
[15.48578398],[797.29970297],[13.64139668],[1.85091554],[1025.42194146],200.31169848144157
[0.03261535],[25698.02712784],[0.65161842],[2.0669199],[951.50857389],178.91416300671392
[0.11444225],[15165.86677686],[10.68364984],[18.79538308],[978.75185481],173.70775638924556
[5.23271605],[952.60403823],[3.94609584],[0.71698059],[1000.85195172],216.43961958361297
[0.09044793],[6709.34992465],[3.82019026],[7.15588427],[1019.08188014],204.155292045598
[21.00017204],[766.88615073],[18.97061482],[3.64652907],[924.40700658],235.53139026958843
[0.11818712],[12678.41406083],[12.72345099],[20.82559047],[1019.78453117],204.1116491065668
[14.66286275],[898.03520638],[18.76221299],[1.68935277],[1003.33842242],201.7337418977263
[20.19959774],[899.54663889],[8.74920462],[1.00162365],[1031.94634064],232.28719805607466
[0.01699855],[28119.30857648],[3.37048825],[17.62616103],[914.18695168],242.92489434926313
[10.68509505],[764.2972065],[14.06350669],[7.23811845],[935.98026124],241.6552818589837
[21.36851686],[777.52281609],[0.55151081],[17.96971672],[974.26644137],246.45592226047836
[0.13145661],[6189.27565473],[4.22556138],[12.17428177],[873.6086735],214.67675573428198
[23.47176383],[737.43971079],[0.08132913],[22.39469883],[930.72437752],247.83591141906902
[0.10630726],[28410.84946454],[9.57085032],[18.10723205],[1010.14639094],101.9665522659684
[0.04728893],[8596.60573534],[5.54804058],[17.44627755],[929.17644403],151.94102319546596
[0.98891038],[784.81712626],[4.16914598],[13.99580445],[945.06559961],202.69849448190155
[21.20470439],[982.46058367],[11.97853044],[0.68347516],[912.06273425],194.89344467014826
[0.13368725],[3441.72173996],[4.31531046],[9.43685789],[995.73661343],144.09720243273557
[1.74382717],[870.51260128],[2.87708455],[5.4175253],[953.96993746],202.9482930764018
[19.61851061],[726.63984748],[15.93167136],[6.3523324],[944.46265432],243.37641002648593
[0.16272831],[19408.61265713],[9.81219455],[14.34880549],[969.88353497],226.87675672713397
[16.64046896],[760.43830056],[17.50926079],[19.71134408],[973.87837174],228.983076745076
[13.14956768],[828.47805297],[10.64857496],[1.0788799],[984.4902588],218.41746512455347
[11.44037244],[820.41149961],[12.84665986],[2.35651512],[863.6609734],243.12398058323936
[0.06899475],[16261.19034155],[4.06078318],[15.72565832],[842.18912053],179.96479665646223
[0.03265647],[24658.12012562],[10.70899452],[24.67901653],[1039.76397194],247.54540506927526
[3.40125135],[777.47332439],[14.48895714],[23.57515042],[989.7958511],246.87671608811434
[16.63342484],[873.45366749],[14.45346325],[1.01088917],[903.26945978],219.47295332736337
[0.13934895],[18546.65854764],[11.2362067],[19.50761188],[1030.16074417],197.19053761386726
[0.15018937],[22321.23083972],[15.96783679],[24.56216885],[1018.60225594],226.34039641160007
[0.06873641],[5221.25405335],[9.80263899],[23.98464437],[1046.52938606],183.07883487861204
[0.08326024],[5596.26197035],[2.07810505],[8.65682422],[806.30045443],213.7124824962333
[9.01671746],[748.02123924],[13.6542254],[3.94356053],[917.30211557],206.398187910753
[24.59373967],[763.80964671],[17.8425177],[18.15396279],[957.1188975],222.35738787119658
[14.84330587],[761.4853603],[7.88943033],[12.41915798],[984.41209764],240.55495625716242
[13.26480423],[720.55766037],[1.57102588],[7.57736933],[958.90055632],236.4405128287426
[0.10887346],[6445.36567459],[6.72578513],[18.18100614],[956.62174629],177.90137860425784
[0.11128022],[29512.35248599],[5.70570557],[11.22122213],[999.03931408],93.7859639760868
[10.28860663],[747.30779967],[17.31754071],[9.53924408],[921.59516891],246.31850175560032
[0.09145501],[3497.71758268],[7.78729609],[22.9836497],[886.9929209],139.46257340517195
[0.08183164],[29370.18725985],[4.52926619],[21.42231826],[803.76846618],197.06077344008327
[0.17748533],[5868.56570401],[12.98589799],[18.98364699],[989.25863625],233.6344340936538
[0.08559754],[18553.70890325],[4.16270784],[13.9113906],[922.91385919],213.61313722319642
[0.07302204],[12185.39174643],[4.03236391],[9.71607713],[1037.62733532],174.51692678343318
[1.67228089],[886.62809563],[14.56839155],[12.54715287],[922.73263799],177.3420483385579
[15.56487681],[760.80971938],[4.0007246],[13.64040436],[938.40408983],238.0707064028844
[1.42816314],[902.98224238],[9.50583023],[16.89833493],[967.2985232],226.83081259042456
[0.12608699],[22777.23065133],[14.43657166],[24.83025569],[986.53999942],141.43029790702542
[0.18078675],[3181.50135248],[8.72376096],[15.06793961],[975.98266466],150.04035627284566
[0.2839087],[1372.40628143],[5.08092223],[11.68677919],[944.90392872],178.46095834273535
[13.96578833],[832.1473543],[16.15881925],[2.04368562],[935.09801047],152.28124111740613
[14.02917843],[816.03442788],[9.67626199],[1.57668891],[840.09992319],235.82994686762572
[0.5916618],[792.62591689],[2.97561137],[9.62372549],[959.45032535],165.686494231423
[1.00077404],[941.8748416],[12.5996227],[15.29466166],[995.22279335],159.3606465309764
[0.0381862],[8409.98848572],[4.92152848],[14.32882294],[1019.44506321],207.34269089409634
[24.71434116],[1706.26178469],[16.08697594],[0.10787831],[908.96146911],209.33886262294016
[22.95733326],[785.95855927],[6.81604552],[12.04633387],[962.71249872],243.3348458513516
[2.91081412],[922.17104964],[2.34231531],[1.61514198],[1023.49040481],202.34315449373537
[0.11903335],[24111.18414276],[11.43921375],[23.90719232],[933.71967258],110.43637817979777
[0.71126515],[1027.05947219],[11.12788049],[15.73663291],[875.76038551],237.9798216375067
[8.33999738],[798.29589194],[12.93108981],[3.05593377],[1044.47397427],220.26122150137985
[5.42851571],[760.05797111],[8.59046142],[12.63338381],[946.85550851],224.97137663740568
[0.05437521],[17429.15124982],[5.96870826],[22.38570306],[956.9037363],168.14834079004765
[0.13675696],[5272.40233985],[4.28948925],[7.39178575],[1040.9635621],160.06206551386424
[0.0938498],[21757.07538217],[8.2854156],[15.684461],[996.30497802],165.46618357308648
[0.09711263],[13135.17465083],[8.58203314],[14.62968259],[1051.17375044],224.57104516066966
[0.1334426],[2829.61009753],[6.89320799],[19.03581106],[848.97086585],175.3645647398556
[17.42113116],[753.77547709],[2.55495272],[22.50696998],[928.05906234],241.38307474828616
[0.18982215],[1240.1583509],[9.6290044],[21.84031808],[964.66632557],68.67651185966156
[0.1714313],[20442.19770658],[1.48880716],[2.60115583],[958.48578875],181.09497950481625
[22.75253503],[726.09404164],[9.22819677],[19.35780306],[972.42471433],241.33066490769477
[0.17694652],[15602.84047699],[10.45862012],[19.16240565],[924.81576614],247.32284611305727
[3.01565811],[803.42775294],[7.76953375],[10.21029135],[978.53651877],232.11536541580665
[17.13880576],[743.17292288],[2.42457407],[1.57250115],[942.37374627],211.54317518603818
[0.05205547],[5540.51951592],[4.39532202],[23.67181858],[907.53184782],242.64141879100032
[0.04560238],[2186.46891159],[5.74494798],[15.93646295],[1011.97886197],189.42981098636142
[0.11021379],[25183.70670102],[6.85558152],[15.15482169],[928.57157544],93.1457219611591
[0.07931601],[6564.15206165],[4.73256279],[15.85531941],[867.62648258],145.05108930269637
[0.24668597],[1174.68414216],[2.80041744],[5.60049839],[982.60975831],96.68652890300916
[1.45264905],[846.91307052],[6.29559292],[8.26486243],[962.49028486],103.4173682192162
[6.34433356],[717.40447743],[5.9218794],[5.184248],[983.53983476],245.88660419095675
[0.48626356],[896.58560433],[10.67083336],[23.37435996],[889.49249923],183.33065649726996
[0.15872411],[1788.21252138],[5.57129293],[13.01322518],[1014.91748686],194.23913004572398
[0.11907226],[15886.34459824],[9.05556722],[18.64649016],[1008.02085223],174.15704225527736
[0.14971034],[22953.38833188],[7.9052455],[15.70263675],[977.38923232],220.79805395171388
[0.0877576],[9802.48784349],[4.55993616],[13.48796127],[962.39814613],177.70657911106127
[0.1242206],[17269.9829467],[6.75165862],[14.45917399],[877.56817779],200.32784031304232
[17.21153095],[745.92367071],[11.80232827],[20.53646837],[937.28826284],232.7879824735179
[22.83041986],[884.68518445],[4.59423298],[0.30217081],[901.31656886],220.50791539962074
[0.01780043],[12373.07398258],[7.96928282],[23.20528502],[955.12259324],224.64188360833487
[16.85548207],[738.7732906],[17.16441074],[19.19260842],[950.96494999],226.26151108275383
[0.10747799],[6672.06771276],[12.86821345],[21.65775213],[1045.23244877],223.2782593849313
[17.63511219],[752.13825923],[11.45139561],[13.74928728],[973.9205996],220.7231950051697
[15.46763684],[738.58691944],[1.86080189],[15.85429187],[934.35760931],243.05528543934975
[22.47609393],[813.14544035],[3.86173153],[0.44076103],[1068.67971002],249.8869467441716
[0.16328473],[13833.10239906],[4.99104531],[7.84009447],[947.63010666],218.0969647117755
[0.08886136],[1912.14122524],[2.92349638],[9.29916071],[947.982005],115.82205138423092
[0.06674216],[21504.62013797],[4.86973535],[11.77575861],[991.62523496],91.57606573076066
[24.52015169],[750.88546764],[17.58444541],[14.10585032],[936.65884426],229.8923451407511
[0.07835749],[11792.89494088],[5.03759884],[17.11741982],[837.87128565],211.64874242136273
[6.97609858],[792.17797749],[16.40945685],[4.5092373],[897.45871156],223.0353876503999
[13.05563637],[776.15275309],[6.29330462],[4.85069337],[955.50165365],231.58646587793294
[4.01296901],[804.72555146],[18.8767105],[12.23738775],[948.9183202],215.45764881261778
[19.23022359],[742.74944148],[1.92671335],[19.52350268],[954.2745364],218.9760170858624
[7.12429107],[780.32244377],[1.54141106],[15.88864527],[965.19328388],240.2006042011808
[22.33649051],[753.66406534],[1.1152022],[4.37173852],[969.25249975],216.98475698081802
[3.16152459],[783.90527208],[13.95648469],[15.35732336],[996.50824184],234.0361939710275
[0.08306704],[14540.85909975],[3.86361261],[8.85924981],[993.33080363],55.3894503981719
[12.87504118],[736.9165604],[4.38070762],[21.244627],[945.2933499],233.78955174397424
[3.49581949],[750.80263042],[0.66222957],[15.34027913],[923.24783862],246.4727848125749
[19.97949734],[916.72470425],[18.83294396],[1.44573466],[894.95772216],211.9367505119311
[0.11309941],[27910.53746253],[11.36882294],[18.75117167],[1055.60241325],173.36101856788082
[0.11821327],[22205.21185335],[6.53913387],[15.94464484],[954.34616304],188.66101562119036
[2.01331433],[795.72509406],[13.11144359],[15.66712509],[849.1330034],238.86761926805082
[0.07154098],[21811.43037414],[7.36553224],[24.52417162],[869.48359948],148.1501727448624
[8.77215667],[768.13648556],[17.62054463],[8.04659706],[946.82420562],232.91434706423024
[0.04538608],[24954.25258628],[2.78701463],[16.22761839],[825.47658651],246.9843676986735
[0.1380289],[14543.89548855],[2.73680593],[5.52349074],[975.23906838],154.19406187211996
[11.85675515],[751.43155137],[19.57173995],[3.40272236],[865.98344062],236.55939184003546
[17.36107796],[739.84633259],[8.65970817],[2.82412644],[1019.40737295],249.7149857883279
[19.26202029],[749.63871763],[15.16552023],[2.74108948],[968.6390759],171.89392076457193
[0.08567174],[9942.36904098],[2.69196165],[7.72801791],[983.5698758],215.90861372289044
[14.4575708],[726.89000089],[3.02692435],[2.25783786],[975.69023346],226.81757995498515
[4.29918178],[720.08677412],[8.51485681],[8.24784247],[979.96389592],232.65651394961696
[0.16236932],[2172.2184649],[13.06748511],[23.82438785],[1031.5351157],113.8514622018987
[0.0741223],[8557.35680458],[7.29685798],[20.10333616],[972.98619853],81.02102930465071
[6.17544706],[759.99527357],[13.38934092],[7.06304041],[1004.87681934],239.3817983410778
[3.98711919],[854.91648036],[8.06928711],[3.24054182],[938.98461583],238.32726133791925
[0.02544898],[19485.66698918],[3.48808745],[15.95209005],[890.34779452],220.89026640819156
[19.51096387],[716.42513759],[10.29155437],[11.6553292],[949.68655951],249.88016006746057
[2.32092154],[751.84791363],[15.13022367],[12.15769405],[988.74189598],235.46597153115727
[0.14435005],[21902.58105927],[5.52463209],[12.07546917],[923.23540142],201.86476413901016
[0.61614138],[943.55475135],[17.75114026],[24.07118414],[1007.50420046],148.34988572355292
[0.1669467],[5419.29600961],[12.86886581],[19.53109953],[1027.57824346],228.6123913478964
[22.00579328],[722.49100302],[11.01221048],[3.16943092],[943.41850326],232.99322738650187
[0.16824129],[6759.1959371],[8.04546771],[17.26611181],[905.62926015],237.13947191258603
[0.04623666],[27684.23964804],[4.43618898],[11.41896125],[1027.49394779],179.32246418842703
[11.02145286],[725.51214905],[11.20497402],[23.51865403],[976.33199271],245.81207289542215
